"Datenstruktur und Java Klassenbibliothek,IOBP2,,""4,0"",5"
"Qualitätssicherung im Softwareprozess,IQSS,,""3,0"",5"
"Algorithmen, Datenstrukturen und Programmiersprachen,DLBIADPS,,""3,0"",5"
"Programmierung von Webanwendungsoberflächen,IPWA1-01,,""3,7"",5"
"IT-Projektmanagement,IPMG-01,,""3,7"",5"
"Seminar Software Engineering,ISSE,,""2,0"",5"
"Ethik und Nachhaltigkeit in der IT,DLBSEPENIT_,,""1,7"",5"
"Programmierung von industriellen Informationssystemen mit Java EE,IPWA2-01,,""3,0"",5"
"Mobile Software Engineering,DLBCSEMSE1,,""3,7"",5"
"Techniken und Methoden der agilen Softwareentwicklung,DLBWIWTMAS,,""4,0"",5"
"Projekt: Agiles Software Engineering,IWNF2,,""1,0"",5"
"IT-Servicemanagement,IWSM1,,""1,7"",5"
"Einführung in Datenschutz und IT-Sicherheit,DLBINGEDS,,""2,7"",5"
"Projekt: Cloud Programming,DLBSEPCP_D,,""1,7"",5"
"Projekt: Mobile Software Engineering,DLBCSEMSE2,,""1,3"",5"
"IT-Infrastruktur,DLBSEPITI-01,,""3,3"",5"
"Einführung in die Programmierung mit Python,DLBDSIPWP_,,""1,7"",5"
"DevOps und Continuous Delivery,DLBSEPDOCD,,""2,0"",5"
"Projekt: Software Development, DLBSEPPSD_,,,""1,3"",5"
"Gestaltung und Ergonomie von User Interfaces, DLBMIUID1-0,,,""2,7"",5"
"Datenmodellierung und Datenbanksysteme, IDBS,,,""2,7"", 5"
"Grundlagen der indistruiellen Softwaretechnik, IGIS,,, ""3,0"", 5"
"Requirements Engineering, IREN,,,""3,3"", 5"
"Spezifikation, ISPE,,, ""3,7"", 5"
"Grundlagen der obkjektorientierten Programmierung mit Java, DLBINGOPJ,,, ""4,0"", 5"
"Einführung in das wissenschaftliche Arbeiten, DLBWIR-01,,,""B"", 5"
"Kollaboartives Arbeiten, DLBKA,,,""1,3"", 5"
"IT-Architekturmanagement, IAMG,,, ""2,7"", 5"
"Einführung in Data Science, DLBDSIDS01,,, ""3.5"", 5"